sentiment,txt
1,   ههههههههههههههههههه لكل ممتدد  الله يخليك ياكاشفنا من   وين ديارك ؟
0,  انا اشتركت فـ غرد بذكر الله بس ليش ماينكتب لي شي ؟؟ 
1,اللهم جملني بَ قلب رحيم وَ عقل حكيمَ و نفس صبورهَ  يَ رب اجعل ‏​‏​بسمتي عاده و حديثي عباده و حياتي سعاده و خاتمتي شهادة اللهم آميييين
0,كلاسيكو السياسه اليوم على اون تي في ودريم  شجع ابو الفتوح واشرب عصير برتقال
0,  لا تندهي ما في حدا
1,#كيفتؤثرعلىالاخرينوتكسبالاصدقاء  القدرات تزال في ظل النقد، وتنمو في ظل التشجيع ^^
1,   نصائح للنساء  للمغامسي      في قمة الروووووووووعة
1,  لا تندهش من دهاء و ذكاء الحيوان فهو متمرس
1,  لبيه يا داعي الغلا وين ما كنت ياللي وجودك من دواعي سروري   أشتقت لك  وأشتقت وأشتقت  وخوفي من الاشواق أفقد شعوري
0, ‎مفيش ذوق جايين ساعة غدا ‏‎ 
0,   مايتغير هذا بيير نفط  خل يبطل الحنفيه شويييه بس
0,مش وكاله البلح  شارع وزاره الزراعه الدقي # # 
1,لاتبكي  إذا اكتشفت أن أقرب الناس إليك هو ألد أعدائك ولتحمد الله أنــك لم تعيش بغفلــة طول عمــرك
1,كــل الأنــوثة تمتــلكها القــصيرات ♥ 
0, مدري تشجيعها لفريق كرة غير لايق بفتاة #وجهة نظري واكيد لها الحق 
1,  فيديو عبدالحميد دشتي يعارض قانون الاعدام للمسيء للرسول الكريم جلسه اليوم   
0,  هههههههههههه صداققه مجود ي مجرمه
1,“ أنصت لمن تحب وأستمع لصوت حزنه بحب حتى لو أعترف لك بما يزعجك فالحب مشاركه ♡”
1,  اللهم وارزقني مما احب فاجعله قوة لي فيما تحب  اللهم ما زويت عني مما احب فاجعله فراغاً لي فيما تحب
0,نـآر الجفـآ عننديْ  ولآ ـالذذلّ ، بـ الفـيّ «  حامد زين <ع
1, هلا وغلا صباح الظهريه ههههه
1,-بـاجـر تـمـر الايـام واذكـرك بالخـير  واذكـر بـأنـك حـلـم بـس مـا انـكـتـب لـي ☺
0,النائب محمد الجويهل سعدت بما قاله زميلي حمد المطر بالوطن واعده بتوفير المعلومات المطلوبه ليقف معي كما ذكر خلال المقابلة   كفووووووووووو
0,“ “ #اكره اذا اوقف فجأه الدنيا تصير سودا بعيني وماشوف وراسي يعورني ويدور ☺<””
1,“   رائعة” يامساااااء الخير 🌹🌹 الف شكر
1,"دﻧدﻧي ﻟههَ  ﺑ صوت هآدي -           مَ ﮪو عآدي      يٓ اﻟﻟههَ , وﺷش ڳثثثثر       - ‏​​ٱشتقت لههَ  |"
1,  ههههههههههههه زين البيت زين
1, والله يمكن خبري خبرج هههههههههههه
0,  بكل حيادية ايضاً  هدف اليوفنتس من فوزينتش  تسلل   وقبل تمرير الكرة بلحظة 
0, حقير شلون مصور طيزك ; مال أخطفك
1,    صلاة الفجر في معتقل غوانتونامو منظررر عجيب وجميل            يستحق رتويت الله يفك أسر المسلمين أجمعين
0,“   ومازال ابو سروال وفنيله  يمتعنا بأفكاره      هههههههههههه  #برودكاست ”
1,  نترياااچ يا مريومه
1, هاهاها ملييييييييييييق
0,جعـل حــظـه عــنـد غــيـري مـا يقـوم♥ ;
0, نعم  توفيت الليبراليه وأسباب الوفاة مستنقع أفكارهم الوحله ؛
0, تقريبا ودايم أنا ويا بنات خالي وخالتي هواش اتطنز عليهممم ويعصبون هههههههههه ويزعلون مني بالمجمعات اتحرش بالي يمرون واعلق ع اللهجه
1, ههههههههههه تفكيرك
0,القمّة لا تعني المجد في مُجملها   فقّمة الخِسّةِ ليست مجدا   #
1,اللــْْ♡ـْْــہم اغفرلي ذنبي كله دقه وجله وعلانيته وسره
1, نعم هذه هي الوسيلة المثلي لتعرف بشكل اوضح من هو و كيف يفكر وبأي عين ينظر
1,لقطة اليوم الحارس ملك اللوب 
0,     انا امرأه غيوره لديني وكرامتي   وماانلام لما ادافع عنها  وهو خرق الثنتين  لادين يرضى ولا كرامه 
1,يا اللـــه  المستشرفون يلعبون بشرف واليوفي يتربع عرش إيطاليا كعادته #  #  #  #  #اليوفنتوس  #يوفنتوس
1,  ‏​يقولون باريس عاصمة الجمال Ί      < ‏​ وهذي شيسموها؟# #   
0,  نصمت احيانا رغم الألم لأننا نعلم بأن حديثنا لن يغير شيء
1, موسى ممكن يكسب اللي خسرهم أبوالفتوح كمان  عموماً هو عنده ما يكفيه من المؤيدين وهو يعلم ذلك وعشان كده جاي يشوط بس 
0,"الرأي جريمة, مهما ابتعد هذا الرأي وحلق , أو اقترب ووفق  #عبداللهالقويري"
0,‏​حبك عطإني درسَ مانيَ بـ ناسيهَ  درسَ هدم احلآمَ عمريَ [بثواني] ♥
0,السلام عليكم  في هذا اليوم مبارك الوعلان طلع  نائب لومونيه   يالله ارحل يابشار يالله ارحل يابشار يالله ارحل يابشار  يالله ارحل يابشار
1, مولود #الجدي الاشياء الخاصه  يجعلها خاصه جداً ولايتكلم بها وﻻ يسمح بأحد ان يتكلم بها   ;;
1,آشتري كل الزعل لآضآقت الدنيآ عليك
1,ربـي اغـفـر لـي و لـ والـدي و لـ جـمـيـع الـمـسـلـمـيـن الاحـيـاء مـنـهـم و الامـوات ♥
0, المؤتمر فى ميعاده وطبعآ مفيش احتفالات ربنا ياخد اللى كان السبب
1,أبناء مصر لخادم الحرمين والشعب السعودي محاولات فاشلة للإساءة إلى العلاقات بين الشقيقتين لن تعكر صفو المحبة والإخاء 
0, انتقدت عدم وضوحه في الاجابة عن البيعة وان كان يريد ان يظهر ان البيعة دي هجص فلازم يقول بايعت واخطأت علي ذلك
0,  «لجنة المفصولين» «ألبا» تُجمِّد رواتب العمّال الرافضين للتدوير وتُهدِّد بفصلهم |  # - 
1,ههههههههههه برب تصبحـون على خير
0,خمس سنوات إيقاف  طبعا اربع منها هي دورة رئيس قادم  والدوره الترشيحية التي تليها لايستطيع لانه تبقى له سنه خامسه توقيف  تخطيط رهيب ولكن لمن
1, افضل معدل اهدافدقائق لـ لاعبين في تاريخ البريمير ليج، هما بابيس سيسيه و سيرجيو اجويرو، و جميعهما اول موسم في البريمير ليج
0,    مخطئ أنت إن ظننت أن التجاهل يجذبني
0, يااااااكثرهه الاشكال هاذي ودي لما اشوف الصوره اكسر جوالها
0, وتسمي ايه الاخوان اللي بيلقبوا دابو الفتوح بالكاذب؟
1,امسَينا وامسَي المُلك للَه  ♥
1,ستعلمك الأيام أو الوقت ما كنت تجهله 
1, مسا الورد بوفيصل
0,  اوقح الأشخاص  من يشوه سمعه شخص ليكسب مسامِع الموجودين --
1,“  منلي اكثر  اتوقع فهمت شنو تقصد”  منليملي ^^
0,  الرجال فصيله نادره مھدده بـ إلانقراض #أتكلم عن الرجال وليس الذكور
1,  بعض جماهير الانديه تنتقص من خدمات  ياسر  علماً بأن كان اكثر لاعب اسيوي مؤثر في مسار بطولة الدوري ، خلص لنا اصعب المباريات
0,قتلت وانا ب قمة قوتي فمن طعنني لم يكن بشرا يملك ضميرا يأنبه💔
0,عزيزي الخميس ﺣرﮐιتَ  ﺳﻟﻧﺩڒ ﻣιﻧﺑﯾﮪι 
1,اي الخلائق ليست في رقابهم  لأولية هذا أوله نعمُ  من يعرف الله يعرف اولوية ذا فالدين من بيت هذا ناله الامم  يتبع١١
0,اُؤمن أن فِ الحب تضحية لكن عندما تكون من طرف دون الآخر تكون كَ المخمور الذي يصرف أموالًا باهظة على من يترااقصن طربًا 
1,     تييي ان شاء الله معاي انا امها واهي بنيتي الحبوبه 
0,  إنهم يكذبون ويجاملون يا صاحب السمو لقدومك   المرة الوحيدة في حياتي التي أتمنى أن أقول لكل أهل تويتر  بليز ريتويت  
1,اتابعـك لحظھ ، ولحظـات مشغول واقرا مشاركتك   و ادقق عليھا  شارك لنـا حتـى ، و لو كـان منقـول   يكفي شعورك بالحكي يحتويھا
1,  # حتى تكون قائد للإبتسامة، تعلم أن تفصل بين أحداث حياتك وإلا فإن الموقف سيأخد منك حيّزا أكبر في التفكير
0,      تهم الكذب والتلفيق التي لازت استفهم كيفيتها  التعدي على موظف عام هذه القضية مع عضيدتان تشبهتها لازالوا يتبع
1,#منطبعي طييبة مررة ومااحب المششاكل $
0,  أكبر غلطة مُمكن ترتكبها البنت في مكان عام أو وهي تسوق إنها تطالع الشاب بالغلط حزتها مراح يعتقها مراح يهدها ومحد راح يفكها
0, حملة المطالبة باقالة هاسيك الرجاء ريتويت
0,من بأعني بعته ولو كان غالي ~
0,#مقاطعون  للمرشحين الاسلاميين وبس لان مقاطعة الانتخابات كلها تفتح لهم الباب ونندم على كدة
0,مؤلم آن تتصفح الصور  فـ تجد صورة لـ شخص لم تتوقع ان تفقدھ يومآ ما 
0,على كثر السنين الي عرفتك ماعرفتك زينتمنيت أني ماشفتك ولا لحظه ولا شويه
1, مرحباً بعودتك نووورت
1, بالظبط دي الخلاصة 
1, نجاح فكرة اللباس المحتشم الله يكثر من امثالهن
1, الله يكون في عون رجال الإطفاء 
1,  طب ما انا بقولك في الاعادة 
1,ريتويت ياقوم العشاشيق ريتويت ريتويت خلوا غايت القلب يـاعي   عل وعسي يشتاق لاشاف ريتويت  ويمكن يعوود لصاحبه بندفـاعي
0,  الوفاقالسلطة مستمرة في ذات النهج الذي بدأته منذ أكثر من عام وأدخلت فيه عشرات النساء في السجون وأخضعتهن للتعذيب، ومنهن كفاءات وطنية #
1,#  مغرد سياسي أسلوبه راقي تختلف أو تتفق معه لا تملك إلا أن تحترمه يستحق المتابعة
0,#نقطةسوداءبحياتي  الفيزياء --
1, عندنا علم بهالشغلة بس لا تحاتي قايمين بالواجب واكثر بعد ;
