sentiment,txt
1,انشاء الله هنعمل حاجه
0, اقسم باللله ان العرب اكثر الشعوب تخلفاا
0,﻿هات ناس تفهم .. و المثل بحكي اسأل مجرب و لا تسأل خبير
0,صرماتي براس اهلك
0, حرام السخرية من الناس
0,﻿ طوقان بدور ع منصب يضل فيه عشر سنين لقدام لاسئلان في نووي و لا سلامة الاردن
1,عمرتنا كانت مميزة جدا ورائعة
0,﻿ يمكن جايين سكارى ويغنون !
1,يا سلام ما أحلى أن يواسي المسلم أخاه  هذه هي أخلاق الإسلام التي أصبحنا نفتقدها يوماً بعد يوم
0, جد اشي بخزي!!
0, الله معكى يا حجه
0, ازا كان حالك احسن من حالو دوس لايك وقول سبحان الله 
0, يعني ما أختار الا الاغنيــه اللي أغلب أحرفها الحرف اللي يقرط فيه 
0,﻿ والله الحياة كلها بتخزي بدونكم 
1,حلو
1,فعلا
0,مسخرة﻿
1,الحمدلله على كل حال
0, لأن ما بعتقد انو في هالقد عاهات ما بيعرفوا انو صوتهم نشااز لأنو كتيير نشاز وازا في رح تكون حالات استثنائية مو بهاد الكم الكبير
1,اميره ممكن اضافه لو سمحتي
1,اللهم ارزقنا وإياك الجنه 
1,كلام حقيقي
0, يستهبلووا
0,اذا اليابان اكلت هوا من النووي كيف احنا
0, العرق كل شوي يزييد
1,اللهم ارزقنا الاخلاص
0,نهايه مواطن طفران
1,اللهم ثبته على دين الاسلام اللهم يا مقلب القلوب ثبت قلبي على دينك
0, مجانين العرب
0,تابعت هذا الجوال من بداية صدوره وقبل اقترابه للعالم العربي .. فعلا يستحق كل هذه الاهمية
0,﻿عاهات 
0,وذلك ليذوقوا ايران وسوريا وشيعتهم وبال امرهم
1,اللهم ارزقني حبك و حب من أحبك و حب عمل يقربني لحبك
1,اللهم أعنا على تقواك
0, أنا متأكده أنو هذولي مدفوعلهم علشان يجون يغنون لأنو مافي ناس مهابيل لهالدرجه
1,الله يبارك فيك لانك غيرت في صاحبتي كتير وهي من المتؤثرين فيك وهي اللي عرفتني عليك
0,احنا بنتهاوش مع الكتب  
1,﻿اللهم ارنا الحق حقا و ارزقنا اتباعه و ارنا الباطل باطلا و ارزقنا اجتنابه
0, هههههههههههههههههههه وهابي عفن ومكبوت تفكيرك محصور بين فخذيك فقط لاغير. الجنة اللتي ستدخلها أنت لا أريد دخولها، جهنم أشرفلي وأهون علي من أن أكون مع أحد الوهابيين المنحطين لواطيي الأطفال
0, اقلب وجهك
1,ابدأ بنفسى الأول اغيرها
1,﻿اللهم اغننا بحلالك عن حرامك و اغننا بفضلك عمن سواك
0,بقرف زيك
0,﻿مزعج الي كثييير
1,اللهم ارضنا بقضائك
1,﻿ اللهم عفوك و رضاك و الجنه 
0, من زمان ماشفت مخلوقات فضائيه هع 
0,﻿الموضوع ما اله علاقه بالتخلف بس لما تكون الاضرار اكثر من الفائده بلا منه و اﻷهم من هيك انه المفاعل بحاجه لتبريد دائم و للاسف وين المي يلي عنا؟؟؟؟
0,﻿ اكدب عليك انت منو اللي كاذب عليك
1,يارب قويني
1,﻿من توكل على الله .. يعانق قلبه النور و الصفاء 
1,الله أكرم ألآكرمين اللهم أعنا على أنفسنا واللهم أرضى عنك يارب العالمين
1,ركز في الإجابه وقول يارب وخد قرار 
0,﻿ لا والله ما بلسه يع
0, الحروف عنده مزغوبه
1,ثبتك الله يا أستاذي و نصرك
0,شي مؤكد انك حمار 
0,الله لا يرفعه من مكانه اللي برفع الاسعار
0,خرى عليك
1,الحمد لله الذي نصرنا نصرا مؤزرا
0,﻿ صرت عاءل أشك أب هل أمر صراحتن
0,﻿يا حبيبي هاي صار للرجال تنانير؟؟؟؟؟؟؟؟  تفي ع هيك رجالة
0, مين وله؟
1,وفقكم الله
0,﻿و ارضيت يا دولة الرئيس تكون ... الله اسهل عليك يا عون الخصاونه
1,﻿دعاء جميل ماشاء الله
1,ايه الاحساس الراقى ده
0,﻿الدول المتقدمة الان تتجه لستخدام الطاقة المتجدده لانها اقل كلفة و ليس لها مخاطر على البيئة و الانسان و نحن الان نعاني من ضائقة مالية كبيرة و شحة مياه شديدة و كلنا يعلم مدى حاجة المفاعل للمياه اذكركم فقط بما حدث في اليابان و هي الدولة الاكثر تطور في مجال التكنولوجيا و هي عبارة عن جزر و كذلك كم أثر علينا المفاعل النووي الاسرائيلي و حالات السرطان المنتشرة ولو لاحظنا التشوهات الخلقية الاكثر في جنوب البلاد
1,الحمد الله على الاسلام .. يا رب اهدي كل من احب هذاا الدين وكل من تردد في دخوله .. وارحمنا جميعا 
1,اشتاق للصلاه ودائما 
0, والله لو طلبوا مين اللي عندو قلب قوي ١٠٠ متر للجري مايتقدم ولا حمار عربي 
0,والله انا خايف انو طخوا بعد هاي الصورة 
1,عجل يا الله
1,يميييي شو هالاكلات الزاكبة هاي شهتونا
1,الله عليك يا شيخ تحفة
1,ياسلام حلوشديد
0, والله عاهات
1,يسعد صباحك بذكر الرحمان
0,﻿و سيارة الحكومه من السعوديه اجن هديه يزلامه المسؤالين اكلونا
1,يا ريت لو يعملوا دورات قبل الزواج 
1,يا رب اريد تجديد ايماني ساعدني
1,عجبتنى الحلقه
0,﻿و الله احلا شيء انه الواحد يهاجر او يشتغل حرامي عشان يقدر يعيش الله لا يوفق الي كان السبب و الله حرام
1,نعم والحمد لله
1,﻿اللهم ان كان رزقي بعيدا فقربه لي و ان كان قريبا فيسره لي وان كان كثيرا فبارك لي فيه
1,صباح الخيرات والعبادات
1,﻿الله ما يحرمنا من كلماتك الحلوة يا شيخنا
1,والله رفعتوا راسنا يا شباب الله يقويكم
1,﻿صباح الخير و النور و الأنوار 
0, نيله تنيلكم من وين جايبين هالحثانه 
1,وجعلنا من الماء كل شيء حي
1,ربك دايما جنبك لو ناديتوا ها تلاقه
0,﻿و هكذا جنت على نفسها براقش
1,ده عمله نادرة...الاخلاق ملهاش علاقه بالدين
1,الاهم نكون صادقين مع نفسنا لنكون صادقين مع الاخرين
1,هذا الشخص هو انت يامصطفى 
1,الله يهدي النفوس
0, ؟ سخافة الشاميين ابدا ما ينفع لهم الكوميديا
1,﻿اللهم ارزقنا العمل الصالح و الزريه الصالحه و ارزقنا يا الله حسن الخاتمه
1,يارب تهدينا إلي الصراط المستقيم
1,حينما ننجح فى الانتصار على انفسنا
0,﻿انا لله و انا اليه راجعون و الله يستر هالبلد
1,﻿كن كما أنت و لا تتغير من أجل أحد
0,﻿ ابو معيتق قطع اوتار العود وقال السلام عليكم 
1,اللهم يا محول الاحوال حول حالى إن أحسن حال 
0,بطلت اتجوز
0, ناس تبي تتمصخر ماتدري شلون
0,﻿حسبنا الله و نعم الوكيل فيكوا
1,مفيش اكرم ولا ارحم من ربنا
1,ونعمه بالله
